product_category,predicted_weekly_demand,current_price,demand_std_dev,safety_stock,reorder_point,order_recommendation
bed_bath_table,105.0,93.0667441860465,56.938563381947,133.0,343.0,Maintain ~343 units
health_beauty,103.0,145.8591525423729,65.90586721478853,154.0,360.0,Maintain ~360 units
sports_leisure,84.0,92.63805194805195,31.447045436203815,74.0,242.0,Maintain ~242 units
housewares,82.0,69.23259615384616,43.47413023856833,102.0,266.0,Maintain ~266 units
furniture_decor,65.0,74.925,52.054458662699254,122.0,252.0,Maintain ~252 units
watches_gifts,64.0,128.0949019607843,47.54646849837186,111.0,239.0,Maintain ~239 units
computers_accessories,56.0,65.9226,44.12387864486379,103.0,215.0,Maintain ~215 units
auto,50.0,79.80777777777777,38.54434675366372,90.0,190.0,Maintain ~190 units
perfumery,48.0,99.29511627906976,13.250786140200628,31.0,127.0,Maintain ~127 units
telephony,46.0,95.88096774193548,33.777457966322245,79.0,171.0,Maintain ~171 units
baby,44.0,63.58285714285715,23.89386253134195,56.0,144.0,Maintain ~144 units
toys,40.0,81.25923076923075,12.500000000000034,30.0,110.0,Maintain ~110 units
stationery,36.0,82.74083333333333,16.941074346097402,40.0,112.0,Maintain ~112 units
pet_shop,32.0,116.83318181818181,20.221688027132323,48.0,112.0,Maintain ~112 units
construction_tools_construction,31.0,279.64076923076925,14.977761292440647,35.0,97.0,Maintain ~97 units
garden_tools,27.0,63.371874999999996,15.173990905493532,36.0,90.0,Maintain ~90 units
cool_stuff,27.0,119.44941176470589,11.41271221051333,27.0,81.0,Maintain ~81 units
electronics,25.0,76.82000000000001,13.937359864766353,33.0,83.0,Maintain ~83 units
fashion_bags_accessories,22.0,68.711875,11.972189997378647,28.0,72.0,Maintain ~72 units
food,17.0,71.58521739130435,11.20639698267616,27.0,61.0,Maintain ~61 units
consoles_games,15.0,68.315,3.3040379335998336,8.0,38.0,Maintain ~38 units
home_appliances,12.0,49.57333333333334,6.633249580710799,16.0,40.0,Maintain ~40 units
luggage_accessories,12.0,75.46142857142857,7.895146188218008,19.0,43.0,Maintain ~43 units
construction_tools_lights,11.0,147.33333333333334,7.348469228349535,18.0,40.0,Maintain ~40 units
home_construction,11.0,223.61999999999998,9.327379053088816,22.0,44.0,Maintain ~44 units
unknown,10.0,34.29333333333333,3.9475730941090155,10.0,30.0,Maintain ~30 units
books_general_interest,9.0,35.74285714285714,5.123475382979799,12.0,30.0,Maintain ~30 units
office_furniture,9.0,99.9,9.742518497116983,23.0,41.0,Maintain ~41 units
musical_instruments,7.0,59.9,6.849574196011505,16.0,30.0,Maintain ~30 units
books_technical,7.0,21.2125,2.7080128015453204,7.0,21.0,Maintain ~21 units
furniture_living_room,7.0,72.16666666666667,5.500000000000003,13.0,27.0,Maintain ~27 units
small_appliances,7.0,113.695,3.403429642777024,8.0,22.0,Maintain ~22 units
drinks,6.0,25.49666666666667,3.774917217635375,9.0,21.0,Maintain ~21 units
audio,5.0,28.67777777777778,1.9148542155126753,5.0,15.0,Maintain ~15 units
kitchen_dining_laundry_garden_furniture,5.0,97.45,2.581988897471613,7.0,17.0,Maintain ~17 units
food_drink,5.0,47.20399999999999,3.3040379335998376,8.0,18.0,Maintain ~18 units
construction_tools_safety,5.0,82.0,3.559026084010437,9.0,19.0,Maintain ~19 units
computers,4.0,630.0,1.0000000000000007,3.0,11.0,Maintain ~11 units
agro_industry_and_commerce,4.0,161.66,3.593976442141304,9.0,17.0,Maintain ~17 units
costruction_tools_garden,4.0,72.9,3.774917217635375,9.0,17.0,Maintain ~17 units
art,4.0,97.5,4.272001872658765,10.0,18.0,Maintain ~18 units
air_conditioning,4.0,101.74,3.1091263510296043,8.0,16.0,Maintain ~16 units
home_confort,4.0,269.0,2.362907813126303,6.0,14.0,Maintain ~14 units
signaling_and_security,4.0,60.96,3.593976442141305,9.0,17.0,Maintain ~17 units
christmas_supplies,3.0,0.0,2.1602468994692847,6.0,12.0,Maintain ~12 units
costruction_tools_tools,3.0,74.995,1.732050807568877,5.0,11.0,Maintain ~11 units
home_appliances_2,3.0,170.0,2.4494897427831783,6.0,12.0,Maintain ~12 units
market_place,3.0,154.95,0.8164965809277281,2.0,8.0,Maintain ~8 units
small_appliances_home_oven_and_coffee,3.0,83.36,3.3040379335998353,8.0,14.0,Maintain ~14 units
industry_commerce_and_business,3.0,134.95,1.4999999999999993,4.0,10.0,Maintain ~10 units
party_supplies,2.0,60.0,1.707825127659933,4.0,8.0,Maintain ~8 units
arts_and_craftmanship,2.0,147.3225,1.7078251276599334,4.0,8.0,Maintain ~8 units
fashion_male_clothing,2.0,0.0,0.5000000000000018,2.0,6.0,Maintain ~6 units
fashion_shoes,2.0,220.7,0.9574271077563365,3.0,7.0,Maintain ~7 units
cine_photo,2.0,15.9,1.7320508075688772,5.0,9.0,Maintain ~9 units
fashion_underwear_beach,2.0,0.0,0.5773502691896241,2.0,6.0,Maintain ~6 units
fixed_telephony,2.0,0.0,3.4034296427770223,8.0,12.0,Maintain ~12 units
furniture_bedroom,2.0,169.0,1.8257418583505538,5.0,9.0,Maintain ~9 units
portateis_cozinha_e_preparadores_de_alimentos,2.0,517.8,0.5000000000000007,2.0,6.0,Maintain ~6 units
books_imported,1.0,0.0,0.49999999999999967,2.0,4.0,Maintain ~4 units
fashion_childrens_clothes,1.0,0.0,0.0,0.0,2.0,Maintain ~2 units
fashion_sport,1.0,0.0,0.4999999999999993,2.0,4.0,Maintain ~4 units
fashio_female_clothing,1.0,47.49,0.9574271077563381,3.0,5.0,Maintain ~5 units
cds_dvds_musicals,1.0,0.0,0.0,0.0,2.0,Maintain ~2 units
diapers_and_hygiene,1.0,139.89,0.500000000000002,2.0,4.0,Maintain ~4 units
dvds_blu_ray,1.0,8.9,0.5000000000000003,2.0,4.0,Maintain ~4 units
furniture_mattress_and_upholstery,1.0,0.0,0.0,0.0,2.0,Maintain ~2 units
flowers,1.0,0.0,0.0,0.0,2.0,Maintain ~2 units
home_comfort_2,1.0,0.0,0.0,0.0,2.0,Maintain ~2 units
la_cuisine,1.0,0.0,0.0,0.0,2.0,Maintain ~2 units
music,1.0,0.0,1.2909944487358058,4.0,6.0,Maintain ~6 units
